Start_Date,End_Date,Crime,Current,Prior,Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR,5YR,22YR,Volume_Number,Number_number,Mayor,Commissioner,Precinct
  12/12/2016,  12/18/2016,Murder,0,0,***.*,0,1,-100.0,2,1,100.0,100.0,0.0,100.0,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Rape,0,0,***.*,1,0,***.*,4,3,33.3,***.*,100.0,0.0,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Robbery,1,0,***.*,3,1,200.0,19,28,-32.1,26.7,-13.6,-70.3,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Fel. Assault,0,1,-100.0,2,4,-50.0,46,53,-13.2,2.2,-6.1,-56.6,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Burglary,1,1,0.0,3,7,-57.1,59,75,-21.3,-31.4,-43.3,-82.0,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Gr. Larceny,2,4,-50.0,13,15,-13.3,144,169,-14.8,-27.6,-0.7,-38.5,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,G.L.A.,0,0,***.*,1,2,-50.0,20,20,0.0,-31.0,-45.9,-97.1,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,TOTAL,4,6,-33.33,23,30,-23.33,294,349,-15.76,-21.60,-18.56,-79.47,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Petit Larceny,7,10,-30.0,27,44,-38.6,342,346,-1.2,-21.6,-35.2,***.*,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Misd. Assault,1,6,-83.3,3,19,-84.2,158,156,1.3,-20.2,-26.2,***.*,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Misd. Sex Crimes,0,0,***.*,0,1,-100.0,14,12,16.7,133.3,100.0,***.*,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Shooting Vic.,0,0,***.*,0,1,-100.0,0,5,-100.0,***.*,-100.0,-100.0,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Shooting Inc.,0,0,***.*,0,1,-100.0,0,4,-100.0,***.*,-100.0,-100.0,23,50,Bill de Blasio,James P. O誰eill,123rd Precinct
  12/12/2016,  12/18/2016,Murder,0,0,***.*,0,0,***.*,4,2,100.0,33.3,100.0,33.3,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Rape,0,0,***.*,1,0,***.*,6,3,100.0,50.0,-66.7,-66.7,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Robbery,4,1,300.0,10,1,900.0,81,61,32.8,44.6,-27.0,-73.1,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Fel. Assault,4,1,300.0,9,8,12.5,111,112,-0.9,3.7,-17.2,-62.4,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Burglary,2,0,***.*,13,6,116.7,137,128,7.0,-23.9,-31.8,-89.5,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Gr. Larceny,6,7,-14.3,32,19,68.4,314,298,5.4,6.1,-20.9,-61.4,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,G.L.A.,1,0,***.*,5,4,25.0,65,43,51.2,22.6,-42.5,-97.6,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,TOTAL,17,9,88.89,70,38,84.21,718,647,10.97,2.72,-26.43,-86.81,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Housing,1,0,***.*,3,2,50.0,32,36,-11.1,60.0,39.1,***.*,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Petit Larceny,14,21,-33.3,54,65,-16.9,663,683,-2.9,-16.8,-59.8,***.*,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Misd. Assault,10,8,25.0,26,30,-13.3,381,323,18.0,27.4,-27.3,***.*,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Misd. Sex Crimes,1,0,***.*,6,0,***.*,31,29,6.9,82.4,55.0,***.*,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Shooting Vic.,0,0,***.*,0,0,***.*,2,3,-33.3,-33.3,100.0,0.0,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Shooting Inc.,0,0,***.*,0,0,***.*,2,3,-33.3,-33.3,100.0,0.0,23,50,Bill de Blasio,James P. O誰eill,122nd Precinct
  12/12/2016,  12/18/2016,Murder,0,0,***.*,0,0,***.*,9,0,***.*,200.0,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Rape,0,2,-100.0,1,2,-50.0,19,14,35.7,46.2,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Robbery,2,2,0.0,13,11,18.2,116,132,-12.1,-19.4,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Fel. Assault,2,6,-66.7,7,19,-63.2,182,238,-23.5,-15.0,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Burglary,2,3,-33.3,20,16,25.0,132,162,-18.5,2.3,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Gr. Larceny,9,9,0.0,38,25,52.0,379,415,-8.7,-3.1,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,G.L.A.,1,0,***.*,4,5,-20.0,62,73,-15.1,1.6,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,TOTAL,16,22,-27.27,83,78,6.41,899,"1,034",-13.06,-5.86,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Housing,0,0,***.*,2,1,100.0,24,26,-7.7,71.4,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Petit Larceny,17,29,-41.4,86,102,-15.7,"1,241","1,246",-0.4,-15.9,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Misd. Assault,9,8,12.5,39,35,11.4,417,477,-12.6,-16.1,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Misd. Sex Crimes,0,1,-100.0,4,1,300.0,25,23,8.7,-19.4,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Shooting Vic.,0,0,***.*,1,0,***.*,12,10,20.0,-25.0,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Shooting Inc.,0,0,***.*,1,0,***.*,10,10,0.0,-23.1,***.*,***.*,23,50,Bill de Blasio,James P. O誰eill,121th Precinct
  12/12/2016,  12/18/2016,Murder,0,1,-100.0,1,2,-50.0,5,11,-54.5,-28.6,-58.3,-75.0,23,50,Bill de Blasio,James P. O誰eill,120th Precinct
  12/12/2016,  12/18/2016,Rape,0,0,***.*,1,0,***.*,17,20,-15.0,-41.4,-56.4,-69.1,23,50,Bill de Blasio,James P. O誰eill,120th Precinct
